playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8470140,2008,Kari Lehtonen,ATL,G,other,46,5232.0,11.45,12.0,132.0,5.5,5.0,15.74,14.0,78.2,80.0,1.79,2.0,41.69,39.0,29.34,38.0,10.8,72.0,23.0,15.0,2.67,2.89,5.89,7.0,1.0,4.0,22.0,0.0,0.0
8470140,2008,Kari Lehtonen,ATL,G,all,46,157455.0,129.82,134.0,2573.0,92.29,93.0,306.98,338.0,1366.01,1498.0,36.75,28.0,762.51,623.0,576.22,745.0,125.46,1497.0,361.0,110.0,46.02,43.49,40.3,42.0,41.0,51.0,605.0,6.0,3.0
8470140,2008,Kari Lehtonen,ATL,G,5on5,46,116930.0,80.79,80.0,1848.0,62.18,70.0,232.18,253.0,984.31,1082.0,26.05,15.0,545.16,426.0,424.98,556.0,78.43,1107.0,253.0,54.0,35.26,29.92,15.61,26.0,34.0,20.0,434.0,6.0,3.0
8470140,2008,Kari Lehtonen,ATL,G,4on5,46,17502.0,31.77,36.0,506.0,22.15,17.0,52.45,61.0,254.4,276.0,1.26,0.0,160.45,145.0,85.81,107.0,30.54,265.0,69.0,35.0,6.22,8.57,16.99,7.0,3.0,26.0,137.0,0.0,0.0
8470140,2008,Kari Lehtonen,ATL,G,5on4,46,17791.0,4.94,6.0,74.0,2.29,0.0,6.2,7.0,46.78,51.0,7.59,11.0,14.27,9.0,35.02,41.0,4.86,44.0,14.0,6.0,1.33,1.78,1.82,2.0,3.0,1.0,10.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,other,13,1143.0,1.14,3.0,15.0,0.75,2.0,1.8,0.0,8.86,10.0,0.31,0.0,5.45,2.0,3.56,6.0,1.01,9.0,3.0,1.0,0.35,0.39,0.4,1.0,1.0,1.0,2.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,all,13,27256.0,22.22,27.0,389.0,15.63,20.0,51.15,52.0,227.88,241.0,8.27,10.0,129.78,99.0,94.83,118.0,21.27,240.0,61.0,22.0,7.22,7.77,7.23,7.0,10.0,10.0,66.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,5on5,13,20172.0,12.85,15.0,261.0,9.48,12.0,35.09,32.0,151.65,160.0,6.24,8.0,85.88,70.0,65.9,82.0,12.48,166.0,38.0,12.0,4.56,4.65,3.63,4.0,6.0,5.0,45.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,4on5,13,3265.0,6.92,8.0,100.0,4.95,5.0,13.13,19.0,58.63,62.0,0.3,0.0,36.13,26.0,19.85,24.0,6.5,60.0,17.0,6.0,2.18,2.18,2.56,2.0,3.0,3.0,17.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,5on4,13,2676.0,1.31,1.0,13.0,0.45,1.0,1.13,1.0,8.73,9.0,1.41,2.0,2.32,1.0,5.53,6.0,1.28,5.0,3.0,3.0,0.12,0.55,0.64,0.0,0.0,1.0,2.0,0.0,0.0
8467430,2008,Dany Sabourin,PIT,G,other,19,1965.0,2.4,3.0,55.0,1.81,1.0,5.81,4.0,27.05,27.0,1.13,0.0,13.86,12.0,13.21,17.0,2.36,29.0,6.0,3.0,1.02,0.72,0.65,1.0,2.0,0.0,17.0,0.0,0.0
8467430,2008,Dany Sabourin,PIT,G,all,19,59366.0,43.21,47.0,917.0,32.07,32.0,107.36,112.0,462.96,463.0,13.69,13.0,254.82,214.0,192.89,228.0,41.21,484.0,119.0,44.0,15.14,14.06,14.01,13.0,19.0,15.0,270.0,2.0,1.0
8467430,2008,Dany Sabourin,PIT,G,5on5,19,46009.0,25.93,30.0,659.0,20.71,20.0,77.6,87.0,320.77,325.0,9.97,9.0,176.28,142.0,137.31,161.0,25.26,344.0,89.0,17.0,10.61,10.51,4.81,8.0,15.0,7.0,209.0,2.0,1.0
8467430,2008,Dany Sabourin,PIT,G,4on5,19,5763.0,12.64,13.0,176.0,8.66,9.0,21.4,18.0,98.35,91.0,0.2,0.0,59.15,56.0,32.06,40.0,11.49,97.0,21.0,19.0,3.08,2.53,7.03,4.0,2.0,7.0,39.0,0.0,0.0
8467430,2008,Dany Sabourin,PIT,G,5on4,19,5629.0,1.98,1.0,19.0,0.69,2.0,1.64,2.0,12.41,15.0,2.23,3.0,3.6,2.0,7.73,7.0,1.84,9.0,2.0,5.0,0.27,0.2,1.51,0.0,0.0,1.0,3.0,0.0,0.0
8469514,2008,Peter Budaj,COL,G,other,56,4201.0,7.34,3.0,123.0,4.08,10.0,11.37,8.0,56.79,56.0,1.36,3.0,29.5,31.0,23.11,28.0,6.78,61.0,12.0,8.0,2.4,1.66,3.27,1.0,0.0,2.0,42.0,0.0,0.0
8469514,2008,Peter Budaj,COL,G,all,56,191512.0,136.02,154.0,3070.0,101.74,127.0,341.84,322.0,1503.93,1531.0,45.57,41.0,831.89,684.0,645.44,840.0,131.87,1699.0,366.0,117.0,51.39,44.38,40.25,55.0,52.0,47.0,888.0,0.0,0.0
8469514,2008,Peter Budaj,COL,G,5on5,56,148944.0,90.59,109.0,2316.0,72.69,90.0,271.37,260.0,1144.13,1157.0,35.17,29.0,632.24,494.0,495.38,655.0,88.24,1318.0,272.0,66.0,40.3,32.44,17.84,44.0,43.0,22.0,660.0,0.0,0.0
8469514,2008,Peter Budaj,COL,G,4on5,56,19071.0,32.76,39.0,532.0,22.32,22.0,51.2,45.0,250.17,264.0,0.93,1.0,152.41,141.0,84.06,114.0,31.63,260.0,67.0,38.0,6.84,8.42,17.5,9.0,8.0,22.0,167.0,0.0,0.0
8469514,2008,Peter Budaj,COL,G,5on4,56,19296.0,3.19,3.0,71.0,1.51,0.0,4.27,6.0,36.75,39.0,7.86,8.0,10.3,13.0,35.79,34.0,3.18,47.0,9.0,2.0,1.28,1.1,0.81,1.0,1.0,1.0,13.0,0.0,0.0
8473607,2008,Michal Neuvirth,WSH,G,other,5,107.0,0.11,0.0,4.0,0.07,1.0,0.24,0.0,1.47,2.0,0.13,1.0,0.92,1.0,0.69,1.0,0.11,3.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8473607,2008,Michal Neuvirth,WSH,G,all,5,13193.0,7.95,11.0,180.0,6.61,8.0,21.61,23.0,94.34,102.0,4.34,4.0,51.82,40.0,40.72,48.0,7.67,108.0,19.0,6.0,3.22,2.34,2.38,5.0,3.0,3.0,47.0,0.0,0.0
8473607,2008,Michal Neuvirth,WSH,G,5on5,5,10232.0,4.44,6.0,120.0,4.06,6.0,15.55,17.0,62.87,71.0,3.35,3.0,35.04,27.0,26.71,32.0,4.36,74.0,13.0,1.0,2.58,1.53,0.33,4.0,1.0,1.0,32.0,0.0,0.0
8473607,2008,Michal Neuvirth,WSH,G,4on5,5,1616.0,2.46,2.0,41.0,2.0,1.0,4.4,5.0,20.64,21.0,0.15,0.0,13.1,11.0,6.2,7.0,2.26,22.0,3.0,4.0,0.29,0.41,1.76,0.0,0.0,2.0,12.0,0.0,0.0
8473607,2008,Michal Neuvirth,WSH,G,5on4,5,1238.0,0.94,3.0,15.0,0.48,0.0,1.43,1.0,9.36,8.0,0.71,0.0,2.75,1.0,7.12,8.0,0.94,9.0,3.0,1.0,0.24,0.41,0.29,1.0,2.0,0.0,2.0,0.0,0.0
8471469,2008,Pekka Rinne,NSH,G,other,52,4642.0,10.49,15.0,151.0,5.89,5.0,13.64,15.0,74.72,91.0,1.48,1.0,46.23,46.0,25.82,29.0,10.09,76.0,23.0,13.0,2.93,2.84,4.71,3.0,7.0,5.0,39.0,0.0,0.0
